source,identifier,name,item_id,tag,code,correspondence_table
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,要素区分コード,1,NaturalPark2,A10_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A11,都道府県コード,0,NatureConservationArea,A11_001,PrefCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A11,支庁区分コード,0,NatureConservationArea,A11_002,SubprefectureNameCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A11,自然保全地域区分コード,0,NatureConservationArea,A11_003,NatureConservationAreaCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A12,都道府県コード,0,AgriculturalArea,A12_001,PrefCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A12,支庁区分コード,0,AgriculturalArea,A12_002,SubprefectureNameCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A12,農業地域区分コード,0,AgriculturalArea,A12_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A13,都道府県コード,0,ForestArea,A13_001,PrefCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A13,支庁区分コード,0,ForestArea,A13_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A13,森林地域区分コード,0,ForestArea,A13_003,ForestAreaCd.html
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,A15,鳥獣保護区名,0,WildlifePreserve,A15_001,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,A15,都道府県コード,0,WildlifePreserve,A15_002,PrefCd.html
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,A15,指定日,0,WildlifePreserve,A15_005,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,A15,解除日,0,WildlifePreserve,A15_006,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,A15,指定機関：指定機関コード,NA,NA,A15_003,NA
http://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,A15,保護区分：保護区分コード,NA,NA,A15_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,DIDid,0,DID,A16_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,行政コード,0,DID,A16_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,市区町村名称,0,DID,A16_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,人口集中地区符合,0,DID,A16_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,人口,0,DID,A16_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,面積,0,DID,A16_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,前回人口,0,DID,A16_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,前回面積,0,DID,A16_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,全域に占める人口集中地区の人口割合,0,DID,A16_009,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,全域に占める人口集中地区の面積割合,0,DID,A16_010,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A16,国勢調査年度,0,DID,A16_011,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,過疎ID,0,UnderpopulatedArea,A17_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,行政コード,0,UnderpopulatedArea,A17_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,都道府県名,0,UnderpopulatedArea,A17_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,支庁名,0,UnderpopulatedArea,A17_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,郡・政令市名,0,UnderpopulatedArea,A17_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,市区町村名,0,UnderpopulatedArea,A17_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,過疎区分コード,0,UnderpopulatedArea,A17_007,KasoCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,指定日,0,UnderpopulatedArea,A17_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,指定事由コード,0,UnderpopulatedArea,A17_009,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,解除日,0,UnderpopulatedArea,A17_010,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,解除事由コード,0,UnderpopulatedArea,A17_011,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,過疎ID,1,UnderpopulatedArea,A17_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,行政区域コード,1,UnderpopulatedArea,A17_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,都道府県名,1,UnderpopulatedArea,A17_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,支庁・振興局名,1,UnderpopulatedArea,A17_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,郡・政令都市名,1,UnderpopulatedArea,A17_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,市区町村名,1,UnderpopulatedArea,A17_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,原典市区町村名,1,UnderpopulatedArea,A17_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,旧市町村名,1,UnderpopulatedArea,A17_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A17,過疎区分コード,1,UnderpopulatedArea,A17_009,KasoCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,半島ID,0,PeninsulasDevelopmentImplementationArea,A18_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,行政コード,0,PeninsulasDevelopmentImplementationArea,A18_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,都道府県名,0,PeninsulasDevelopmentImplementationArea,A18_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,支庁名,0,PeninsulasDevelopmentImplementationArea,A18_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,郡・政令市名,0,PeninsulasDevelopmentImplementationArea,A18_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,市区町村名,0,PeninsulasDevelopmentImplementationArea,A18_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,指定地域名,0,PeninsulasDevelopmentImplementationArea,A18_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,指定日,0,PeninsulasDevelopmentImplementationArea,A18_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,半島ID,1,PeninsulasDevelopmentImplementationArea,A18_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,行政区域コード,1,PeninsulasDevelopmentImplementationArea,A18_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,都道府県名,1,PeninsulasDevelopmentImplementationArea,A18_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,支庁・振興局名,1,PeninsulasDevelopmentImplementationArea,A18_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A18,郡・政令都市名,1,PeninsulasDevelopmentImplementationArea,A18_005,NA
