identifier,text,link_label,url_basename,url_fullname
L03-b-u,コードリスト「土地利用種別」土地利用種別,土地利用種別,LandUseCd-09-u.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/LandUseCd-09-u.html
L05,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
L05,コードリスト「用途地域コード」,用途地域コード,useDistrict.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/useDistrict.html
N02,コードリスト「鉄道区分コード」,鉄道区分コード,RailwayClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/RailwayClassCd.html
N02,コードリスト「事業者種別コード」,事業者種別コード,InstitutionTypeCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/InstitutionTypeCd.html
N05,コードリスト「事業者種別コード」,事業者種別コード,RailwayClass2Cd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/RailwayClass2Cd.html
N05,コードリスト「変遷IDコード」,変遷IDコード,RailwayTransitionCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/RailwayTransitionCd.html
N06,コードリスト「変遷IDコード」,変遷IDコード,HighwayTransitionCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/HighwayTransitionCd.html
N06,コードリスト「路線種別コード」,路線種別コード,HighwayCatCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/HighwayCatCd.html
N06,コードリスト「供用状況コード」,供用状況コード,HighwayUseCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/HighwayUseCd.html
N06,コードリスト「変遷IDコード」,変遷IDコード,HighwayTransitionCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/HighwayTransitionCd.html
N06,コードリスト「接合部種別コード」,接合部種別コード,HighwayConCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/HighwayConCd.html
N07,コードリスト「バス区分コード」,バス区分コード,BusClassCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/BusClassCd.html
N08,コードリスト「空港種別コード」,空港種別コード,AirportCatCd..html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AirportCatCd..html
N08,コードリスト「設置者・管理者コード」,設置者・管理者コード,InstallAdminCd-v2_3.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/InstallAdminCd-v2_3.html
N08,コードリスト「設置者・管理者コード」,設置者・管理者コード,InstallAdminCd-v2_3.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/InstallAdminCd-v2_3.html
N08,コードリスト「定期便コード」,定期便コード,RegularFlightCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/RegularFlightCd.html
N08,コードリスト「ジェット化コード」,ジェット化コード,AirJetCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AirJetCd.html
N08,コードリスト「供用状況コード」,供用状況コード,AirportUseCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AirportUseCd.html
N08,コードリスト「変遷IDコード」,変遷IDコード,AirportTransitionCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AirportTransitionCd.html
N08,コードリスト「供用状況コード」,供用状況コード,AirportUseCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AirportUseCd.html
